Comparison for osu_gather between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	6.15		6.71		9.00%
2	6.13		6.30		2.00%
3	6.03		6.27		3.00%
4	6.30		6.33		0%
5	6.78		6.37		-6.00%
6	6.45		6.41		0%
7	6.98		6.36		-8.00%
8	6.67		6.70		0%
9	7.48		6.69		-10.00%
10	6.86		6.77		-1.00%
11	6.79		6.85		0%
12	7.65		7.79		1.00%
13	12.60		12.38		-1.00%
14	16.93		16.67		-1.00%
15	26.23		26.09		0%
16	47.65		47.65		0%
17	98.23		98.45		0%
18	213.71		213.91		0%
19	389.58		382.93		-1.00%
20	1723.59		1704.08		-1.00%
21	3247.78		3227.19		0%
