Comparison for osu_scatter between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	9.00		9.02		0%
2	9.23		8.77		-4.00%
3	9.26		8.57		-7.00%
4	9.25		8.64		-6.00%
5	9.19		8.82		-4.00%
6	8.91		8.93		0%
7	9.10		9.48		4.00%
8	9.68		9.85		1.00%
9	10.42		10.67		2.00%
10	17.29		17.75		2.00%
11	23.47		23.68		0%
12	30.13		29.80		-1.00%
13	42.46		41.67		-1.00%
14	69.03		68.52		0%
15	58.13		58.75		1.00%
16	106.01		106.98		0%
17	218.65		218.68		0%
18	519.72		516.47		0%
19	1167.62		1159.16		0%
20	2439.75		2435.64		0%
21	5169.89		5132.20		0%
