
# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      19.93             15.70             14.70             71.19
2                      19.02             14.86             13.77             69.75
4                      18.69             14.50             13.48             68.90
8                      18.54             14.40             13.39             69.09
16                     18.63             14.49             13.45             69.20
32                     18.59             14.45             13.46             69.27
64                     18.90             14.79             13.73             70.04
128                    19.82             15.38             14.40             69.19
256                    20.16             15.65             14.63             69.19
512                    20.62             16.03             15.02             69.40
1024                   21.53             16.57             15.58             68.17
2048                   22.70             17.60             16.52             69.15
4096                   26.30             20.26             19.07             68.31
8192                   34.73             26.82             25.48             68.94
16384                  62.31             43.32             41.46             54.18
32768                  99.97             75.02             72.27             65.48
65536                 319.27            239.75            232.21             65.75
131072                674.67            520.19            504.60             69.39
262144               1775.45           1228.35           1192.35             54.12
524288               4328.12           2813.19           2731.68             44.54
1048576              9484.36           5792.31           5618.07             34.28
