
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      44.19
2                      42.88
4                      44.54
8                      45.05
16                     46.11
32                     47.95
64                     53.43
128                    65.95
256                    91.48
512                   176.16
1024                  203.12
2048                  300.71
4096                  513.98
8192                  947.73
16384                1918.48
32768                4080.69
65536                7841.19
131072              15690.83
262144              17424.81
524288              33910.24
1048576             64663.12
