
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      44.20
2                      47.79
4                      45.18
8                      49.37
16                     47.67
32                     48.47
64                     53.76
128                    65.75
256                    91.17
512                   167.26
1024                  194.07
2048                  289.34
4096                  499.28
8192                  929.16
16384                1877.91
32768                4011.76
65536                7718.79
131072              15456.14
262144              17214.13
524288              33749.39
1048576             64405.52
