
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      31.47
8                      30.46
16                     33.24
32                     33.23
64                     31.61
128                    38.71
256                    34.76
512                    35.49
1024                   40.21
2048                   44.04
4096                   55.82
8192                   81.00
16384                 127.91
32768                 235.31
65536                 584.35
131072               1148.93
262144                741.68
524288               1225.61
1048576              2726.95
