
# OSU MPI Broadcast Latency Test v5.6.3
# Size       Avg Latency(us)
1                       8.14
2                       7.47
4                       7.28
8                       7.39
16                      7.13
32                      7.17
64                      7.26
128                     8.24
256                     8.26
512                     8.89
1024                    9.28
2048                   10.34
4096                   11.90
8192                   14.31
16384                  29.54
32768                  50.35
65536                 102.57
131072                205.78
262144                409.28
524288                814.80
1048576              1402.95
