
# OSU MPI Non-blocking Reduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                      12.15              8.69              7.84             55.75
8                      11.93              8.48              7.69             55.13
16                     12.02              8.48              7.65             53.71
32                     12.14              8.55              7.74             53.55
64                     11.96              8.58              7.75             56.46
128                    12.49              8.84              8.10             54.98
256                    89.46             34.31             32.73              0.00
512                    87.93             33.56             31.98              0.00
1024                   89.15             34.12             32.57              0.00
2048                   94.84             36.25             34.69              0.00
4096                  100.92             38.45             36.68              0.00
8192                  124.04             49.14             47.15              0.00
16384                 122.92             49.06             47.10              0.00
32768                 167.99             74.61             71.88              0.00
65536                 243.66            115.21            111.25              0.00
131072                390.53            191.25            185.19              0.00
262144                719.14            359.19            348.28              0.00
524288               1432.69            712.85            691.77              0.00
1048576              3407.30           1684.79           1635.75              0.00
