
# OSU MPI Reduce_scatter Latency Test v5.6.3
# Size       Avg Latency(us)
4                       6.75
8                       6.39
16                      6.62
32                      7.69
64                     10.81
128                    16.04
256                    35.79
512                    40.06
1024                   40.45
2048                   41.18
4096                   44.35
8192                   48.62
16384                  55.44
32768                  68.83
65536                 109.51
131072                189.45
262144                349.30
524288                763.23
1048576              2661.73
