
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.02
2                       8.77
4                       8.57
8                       8.64
16                      8.82
32                      8.93
64                      9.48
128                     9.85
256                    10.67
512                    17.75
1024                   23.68
2048                   29.80
4096                   41.67
8192                   68.52
16384                  58.75
32768                 106.98
65536                 218.68
131072                516.47
262144               1159.16
524288               2435.64
1048576              5132.20
