
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.00
2                       9.23
4                       9.26
8                       9.25
16                      9.19
32                      8.91
64                      9.10
128                     9.68
256                    10.42
512                    17.29
1024                   23.47
2048                   30.13
4096                   42.46
8192                   69.03
16384                  58.13
32768                 106.01
65536                 218.65
131072                519.72
262144               1167.62
524288               2439.75
1048576              5169.89
