
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      87.55
2                      80.30
4                      80.36
8                      83.45
16                     88.17
32                     93.46
64                    110.44
128                   164.96
256                   301.98
512                   576.22
1024                 1943.05
2048                 2169.97
4096                 2801.27
8192                 5094.59
16384               11947.81
32768               26295.07
65536               67839.50
131072             125064.75
262144             175348.96
524288             342843.16
1048576            677371.42
