
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                      17.25
2                      15.36
4                      14.96
8                      15.06
16                     15.14
32                     15.76
64                     16.86
128                    18.83
256                    21.64
512                    26.88
1024                   32.66
2048                   49.40
4096                   77.05
8192                  125.00
16384                 141.28
32768                 296.62
65536                 365.63
131072                963.99
262144               2216.26
524288               4717.87
1048576              9878.71
