
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                      18.94
2                      16.50
4                      15.27
8                      15.20
16                     15.86
32                     16.05
64                     16.88
128                    19.58
256                    22.73
512                    26.24
1024                   31.57
2048                   49.74
4096                   76.84
8192                  125.01
16384                 140.04
32768                 295.78
65536                 366.17
131072                962.87
262144               2212.95
524288               4718.59
1048576              9870.90
